driver,lap,pos,life,compound,time,avg_prev_3_time,pace_delta
LEC,1,1.0,1,MEDIUM,96.094,,
ANT,1,2.0,1,MEDIUM,97.243,,
NOR,1,3.0,1,MEDIUM,98.115,,
PIA,1,4.0,1,MEDIUM,98.7,,
RUS,1,5.0,1,MEDIUM,99.258,,
HAM,1,6.0,1,MEDIUM,100.683,,
COL,1,7.0,1,MEDIUM,101.556,,
LAW,1,8.0,1,MEDIUM,102.841,,
VER,1,9.0,1,MEDIUM,104.911,,
ALB,1,10.0,1,MEDIUM,104.983,,
SAI,1,11.0,1,MEDIUM,105.235,,
GAS,1,12.0,1,MEDIUM,105.243,,
OCO,1,13.0,1,MEDIUM,105.5,,
BEA,1,14.0,1,MEDIUM,105.758,,
LIN,1,15.0,1,MEDIUM,106.549,,
STR,1,16.0,1,MEDIUM,107.631,,
PER,1,17.0,1,MEDIUM,107.924,,
BOR,1,18.0,1,MEDIUM,109.249,,
HAD,1,19.0,1,HARD,109.627,,
ALO,1,20.0,1,MEDIUM,109.952,,
BOT,1,21.0,1,MEDIUM,110.494,,
HUL,1,22.0,1,MEDIUM,114.251,,
LEC,2,1.0,2,MEDIUM,93.036,96.094,0.0
ANT,2,2.0,2,MEDIUM,92.936,97.243,1.149000000000001
NOR,2,3.0,2,MEDIUM,92.77,98.115,2.021000000000001
PIA,2,4.0,2,MEDIUM,93.525,98.7,2.6060000000000088
RUS,2,5.0,2,MEDIUM,93.194,99.258,3.1640000000000015
HAM,2,6.0,2,MEDIUM,93.545,100.683,4.589000000000013
COL,2,7.0,2,MEDIUM,94.113,101.556,5.462000000000003
VER,2,8.0,2,MEDIUM,93.464,104.911,8.817000000000007
LAW,2,9.0,2,MEDIUM,97.079,102.841,6.747
ALB,2,10.0,2,MEDIUM,95.404,104.983,8.88900000000001
GAS,2,11.0,2,MEDIUM,95.576,105.243,9.149000000000001
SAI,2,12.0,2,MEDIUM,95.889,105.235,9.141000000000005
BEA,2,13.0,2,MEDIUM,96.946,105.758,9.664000000000001
OCO,2,14.0,2,MEDIUM,97.468,105.5,9.406000000000006
LIN,2,15.0,2,MEDIUM,96.74,106.549,10.455000000000013
STR,2,16.0,2,MEDIUM,96.569,107.631,11.537000000000006
PER,2,17.0,2,MEDIUM,96.783,107.924,11.830000000000013
HAD,2,18.0,2,HARD,96.068,109.627,13.533000000000001
BOR,2,19.0,2,MEDIUM,96.799,109.249,13.155000000000001
ALO,2,20.0,2,MEDIUM,96.627,109.952,13.858000000000004
BOT,2,21.0,2,MEDIUM,96.788,110.494,14.400000000000006
HUL,2,22.0,1,MEDIUM,120.274,114.251,18.15700000000001
LEC,3,1.0,3,MEDIUM,93.357,94.565,0.0
ANT,3,2.0,3,MEDIUM,93.224,95.0895,0.5245000000000033
NOR,3,3.0,3,MEDIUM,93.263,95.4425,0.8774999999999977
RUS,3,4.0,3,MEDIUM,93.574,96.226,1.6610000000000014
PIA,3,5.0,3,MEDIUM,94.364,96.11250000000001,1.5475000000000136
HAM,3,6.0,3,MEDIUM,93.789,97.114,2.5490000000000066
COL,3,7.0,3,MEDIUM,94.46,97.83449999999999,3.2694999999999936
VER,3,8.0,3,MEDIUM,93.239,99.1875,4.622500000000002
LAW,3,9.0,3,MEDIUM,94.814,99.96,5.394999999999996
ALB,3,10.0,3,MEDIUM,94.932,100.1935,5.6285000000000025
GAS,3,11.0,3,MEDIUM,95.046,100.4095,5.8444999999999965
SAI,3,12.0,3,MEDIUM,95.295,100.562,5.997
BEA,3,13.0,3,MEDIUM,94.892,101.352,6.787000000000006
OCO,3,14.0,3,MEDIUM,95.181,101.48400000000001,6.919000000000011
LIN,3,15.0,3,MEDIUM,96.21,101.6445,7.079499999999996
HAD,3,16.0,3,HARD,95.188,102.8475,8.282499999999999
STR,3,17.0,3,MEDIUM,97.019,102.1,7.534999999999997
PER,3,18.0,3,MEDIUM,97.009,102.3535,7.788499999999999
BOR,3,19.0,3,MEDIUM,96.384,103.024,8.459000000000003
ALO,3,20.0,3,MEDIUM,96.505,103.2895,8.724500000000006
BOT,3,21.0,3,MEDIUM,96.607,103.64099999999999,9.075999999999993
HUL,3,22.0,2,MEDIUM,94.93,117.2625,22.697500000000005
ANT,4,1.0,4,MEDIUM,93.586,94.46766666666667,0.3053333333333512
LEC,4,2.0,4,MEDIUM,94.73,94.16233333333332,0.0
NOR,4,3.0,4,MEDIUM,93.814,94.71600000000001,0.5536666666666861
RUS,4,4.0,4,MEDIUM,93.873,95.342,1.1796666666666766
PIA,4,5.0,4,MEDIUM,94.089,95.52966666666667,1.3673333333333488
HAM,4,6.0,4,MEDIUM,93.971,96.00566666666667,1.843333333333348
COL,4,7.0,4,MEDIUM,94.339,96.70966666666668,2.5473333333333557
VER,4,8.0,4,MEDIUM,93.536,97.20466666666668,3.04233333333336
LAW,4,9.0,4,MEDIUM,95.184,98.24466666666666,4.082333333333338
ALB,4,10.0,4,MEDIUM,94.77,98.43966666666667,4.277333333333345
GAS,4,11.0,4,MEDIUM,94.856,98.62166666666667,4.459333333333348
SAI,4,12.0,4,MEDIUM,94.844,98.80633333333333,4.6440000000000055
BEA,4,13.0,4,MEDIUM,95.041,99.19866666666667,5.036333333333346
OCO,4,14.0,4,MEDIUM,95.464,99.383,5.2206666666666734
LIN,4,15.0,4,MEDIUM,95.655,99.83300000000001,5.6706666666666905
HAD,4,16.0,4,HARD,94.833,100.29433333333333,6.132000000000005
STR,4,17.0,4,MEDIUM,96.418,100.40633333333334,6.244000000000014
PER,4,18.0,4,MEDIUM,96.307,100.572,6.409666666666681
BOR,4,19.0,4,MEDIUM,96.533,100.81066666666668,6.648333333333355
ALO,4,20.0,4,MEDIUM,96.45,101.028,6.865666666666684
BOT,4,21.0,4,MEDIUM,96.617,101.29633333333334,7.1340000000000146
HUL,4,22.0,3,MEDIUM,94.523,109.81833333333334,15.65600000000002
LEC,5,1.0,5,MEDIUM,93.697,93.70766666666667,0.4590000000000032
ANT,5,2.0,5,MEDIUM,94.602,93.24866666666667,0.0
NOR,5,3.0,5,MEDIUM,93.842,93.28233333333333,0.03366666666666163
RUS,5,4.0,5,MEDIUM,93.837,93.54700000000001,0.2983333333333462
PIA,5,5.0,5,MEDIUM,93.491,93.99266666666666,0.7439999999999998
HAM,5,6.0,5,MEDIUM,94.184,93.76833333333333,0.5196666666666658
COL,5,7.0,5,MEDIUM,94.736,94.30400000000002,1.0553333333333512
VER,5,8.0,5,MEDIUM,94.09,93.41300000000001,0.16433333333334588
ALB,5,9.0,5,MEDIUM,95.888,95.03533333333333,1.7866666666666617
SAI,5,10.0,5,MEDIUM,96.681,95.34266666666666,2.093999999999994
BEA,5,11.0,5,MEDIUM,95.796,95.62633333333333,2.37766666666667
OCO,5,12.0,5,MEDIUM,95.306,96.03766666666667,2.7890000000000015
LIN,5,13.0,5,MEDIUM,97.123,96.20166666666667,2.953000000000003
PER,5,14.0,5,MEDIUM,96.828,96.69966666666666,3.4509999999999934
BOR,5,15.0,5,MEDIUM,97.279,96.572,3.3233333333333377
STR,5,16.0,5,MEDIUM,99.194,96.66866666666668,3.420000000000016
ALO,5,17.0,5,MEDIUM,100.142,96.52733333333333,3.278666666666666
BOT,5,18.0,5,MEDIUM,102.642,96.67066666666666,3.421999999999997
LAW,5,19.0,5,MEDIUM,122.852,95.69233333333334,2.4436666666666724
HUL,5,20.0,4,MEDIUM,109.487,103.24233333333332,9.993666666666655
LEC,6,1.0,6,MEDIUM,129.463,93.928,0.3063333333333276
NOR,6,2.0,6,MEDIUM,130.35,93.63966666666666,0.01799999999998647
ANT,6,3.0,6,MEDIUM,132.093,93.80400000000002,0.18233333333334656
RUS,6,4.0,6,MEDIUM,130.928,93.76133333333333,0.13966666666665617
PIA,6,5.0,6,MEDIUM,131.907,93.98133333333332,0.35966666666665503
HAM,6,6.0,6,MEDIUM,135.026,93.98133333333334,0.35966666666666924
COL,6,7.0,6,MEDIUM,136.173,94.51166666666667,0.8900000000000006
VER,6,8.0,6,MEDIUM,140.948,93.62166666666667,0.0
ALB,6,9.0,6,MEDIUM,135.327,95.19666666666667,1.5750000000000028
SAI,6,10.0,6,MEDIUM,134.301,95.60666666666667,1.9849999999999994
BEA,6,11.0,6,MEDIUM,134.875,95.243,1.6213333333333253
OCO,6,12.0,6,MEDIUM,135.341,95.317,1.6953333333333234
LIN,6,13.0,6,MEDIUM,134.208,96.32933333333334,2.707666666666668
PER,6,14.0,6,MEDIUM,134.677,96.71466666666667,3.0930000000000035
BOR,6,15.0,6,MEDIUM,135.495,96.73200000000001,3.110333333333344
STR,6,16.0,6,MEDIUM,136.722,97.54366666666665,3.921999999999983
ALO,6,17.0,6,MEDIUM,135.182,97.699,4.077333333333328
BOT,6,18.0,6,MEDIUM,137.329,98.622,5.00033333333333
HUL,6,19.0,5,MEDIUM,135.15,99.64666666666666,6.0249999999999915
LAW,6,20.0,6,MEDIUM,163.082,104.28333333333335,10.661666666666676
LEC,7,1.0,7,MEDIUM,138.014,105.96333333333332,0.0
NOR,7,2.0,7,MEDIUM,137.842,106.002,0.03866666666667129
ANT,7,3.0,7,MEDIUM,137.101,106.76033333333334,0.7970000000000113
RUS,7,4.0,7,MEDIUM,137.484,106.21266666666666,0.24933333333333962
PIA,7,5.0,7,MEDIUM,137.314,106.49566666666668,0.5323333333333551
