driver,lap,last_time
LEC,1,96.338
ANT,1,97.487
NOR,1,98.359
PIA,1,98.944
RUS,1,99.502
HAM,1,100.927
COL,1,101.8
LAW,1,103.085
VER,1,105.155
ALB,1,105.227
SAI,1,105.479
GAS,1,105.487
OCO,1,105.744
BEA,1,106.002
LIN,1,106.793
STR,1,107.875
PER,1,108.168
BOR,1,109.493
HAD,1,109.871
ALO,1,110.196
BOT,1,110.738
HUL,1,114.495
NOR,2,92.77
ANT,2,92.936
LEC,2,93.036
RUS,2,93.194
VER,2,93.464
PIA,2,93.525
HAM,2,93.545
COL,2,94.113
ALB,2,95.404
GAS,2,95.576
SAI,2,95.889
HAD,2,96.068
STR,2,96.569
ALO,2,96.627
LIN,2,96.74
PER,2,96.783
BOT,2,96.788
BOR,2,96.799
BEA,2,96.946
LAW,2,97.079
OCO,2,97.468
HUL,2,120.274
ANT,3,93.224
VER,3,93.239
NOR,3,93.263
LEC,3,93.357
RUS,3,93.574
HAM,3,93.789
PIA,3,94.364
COL,3,94.46
LAW,3,94.814
BEA,3,94.892
HUL,3,94.93
ALB,3,94.932
GAS,3,95.046
OCO,3,95.181
HAD,3,95.188
SAI,3,95.295
LIN,3,96.21
BOR,3,96.384
ALO,3,96.505
BOT,3,96.607
PER,3,97.009
STR,3,97.019
VER,4,93.536
ANT,4,93.586
NOR,4,93.814
RUS,4,93.873
HAM,4,93.971
PIA,4,94.089
COL,4,94.339
HUL,4,94.523
LEC,4,94.73
ALB,4,94.77
HAD,4,94.833
SAI,4,94.844
GAS,4,94.856
BEA,4,95.041
LAW,4,95.184
OCO,4,95.464
LIN,4,95.655
PER,4,96.307
STR,4,96.418
ALO,4,96.45
BOR,4,96.533
BOT,4,96.617
PIA,5,93.491
LEC,5,93.697
RUS,5,93.837
NOR,5,93.842
VER,5,94.09
HAM,5,94.184
ANT,5,94.602
COL,5,94.736
OCO,5,95.306
BEA,5,95.796
ALB,5,95.888
SAI,5,96.681
PER,5,96.828
LIN,5,97.123
