driver,lap,pos,life,compound,time,avg_prev_3_time,pace_delta
ANT,48,1,22,HARD,92.377,92.57066666666667,0.10266666666666424
NOR,48,2,21,HARD,92.398,92.473,0.0049999999999954525
LEC,48,3,27,HARD,92.892,93.33999999999999,0.8719999999999857
PIA,48,4,20,HARD,93.578,92.468,0
VER,48,5,42,HARD,94.368,94.04133333333334,1.5733333333333377
RUS,48,6,28,HARD,93.272,93.21100000000001,0.7430000000000092
HAM,48,7,21,HARD,93.575,93.20133333333335,0.7333333333333485
COL,48,8,17,HARD,93.721,93.63166666666666,1.163666666666657
SAI,48,9,20,HARD,94.004,94.03133333333334,1.5633333333333326
ALB,48,10,21,HARD,94.325,94.35666666666668,1.8886666666666798
BEA,48,11,22,HARD,94.753,95.492,3.024000000000001
BOR,48,12,16,HARD,93.841,94.48700000000001,2.0190000000000055
OCO,48,13,17,HARD,94.26,95.004,2.5360000000000014
LIN,48,14,20,HARD,95.358,94.585,2.1169999999999902
PER,48,15,19,HARD,96.634,96.55900000000001,4.091000000000008
ALO,48,16,7,SOFT,96.765,95.72466666666666,3.2566666666666606
STR,48,17,11,SOFT,95.135,95.06966666666666,2.6016666666666595
BOT,48,18,27,MEDIUM,98.102,99.12233333333332,6.654333333333312
ANT,49,1,23,HARD,92.243,92.56333333333333,0.11400000000001853
NOR,49,2,22,HARD,92.269,92.44933333333331,0
LEC,49,3,28,HARD,92.734,93.346,0.8966666666666896
PIA,49,4,21,HARD,92.759,92.89466666666665,0.4453333333333376
VER,49,5,43,HARD,94.4,94.348,1.898666666666685
RUS,49,6,29,HARD,92.741,93.27833333333332,0.8290000000000077
HAM,49,7,22,HARD,93.635,93.35000000000001,0.9006666666666945
COL,49,8,18,HARD,93.38,93.55499999999999,1.1056666666666786
SAI,49,9,21,HARD,93.98,94.01733333333334,1.5680000000000263
ALB,49,10,22,HARD,94.18,94.36166666666666,1.9123333333333505
BEA,49,11,23,HARD,94.342,95.54699999999998,3.097666666666669
BOR,49,12,17,HARD,94.27,94.29166666666667,1.8423333333333574
OCO,49,13,18,HARD,94.259,94.822,2.3726666666666887
LIN,49,14,21,HARD,94.818,94.83833333333332,2.38900000000001
PER,49,15,20,HARD,96.887,96.645,4.195666666666682
ALO,49,16,8,SOFT,97.677,96.44833333333332,3.9990000000000094
STR,49,17,12,SOFT,95.098,95.17466666666667,2.725333333333353
BOT,49,18,28,MEDIUM,102.264,98.27133333333332,5.822000000000003
ANT,50,1,24,HARD,92.097,92.46733333333333,0.1666666666666714
NOR,50,2,23,HARD,92.428,92.30066666666666,0
LEC,50,3,29,HARD,92.566,93.10133333333333,0.8006666666666717
PIA,50,4,22,HARD,92.425,92.98233333333333,0.681666666666672
VER,50,5,44,HARD,93.592,94.58366666666666,2.2830000000000013
RUS,50,6,30,HARD,92.701,93.09133333333334,0.7906666666666808
HAM,50,7,23,HARD,93.506,93.51666666666667,1.2160000000000082
COL,50,8,19,HARD,94.176,93.47766666666666,1.1770000000000067
SAI,50,9,22,HARD,93.893,93.98733333333332,1.6866666666666674
ALB,50,10,23,HARD,94.356,94.35533333333335,2.054666666666691
BEA,50,11,24,HARD,94.287,95.54333333333334,3.242666666666679
BOR,50,12,18,HARD,94.409,94.094,1.7933333333333366
OCO,50,13,19,HARD,96.679,94.35666666666667,2.0560000000000116
LIN,50,14,22,HARD,94.605,94.91833333333334,2.617666666666679
PER,50,15,21,HARD,96.556,96.80433333333333,4.503666666666675
